Q,Region,CBA,CBT
2005-01-01,patagonia,142080,380770
2005-02-01,cuyo,122690,308390
2005-02-01,gran_buenos_aires,137650,324990
2005-02-01,noreste,123210,272300
2005-02-01,noroeste,119540,261920
2005-02-01,pampeana,136340,321770
2005-02-01,patagonia,142080,380770
2005-03-01,cuyo,122690,308390
2005-03-01,gran_buenos_aires,137650,324990
2005-03-01,noreste,123210,272300
2005-03-01,noroeste,119540,261920
2005-03-01,pampeana,136340,321770
2005-03-01,patagonia,142080,380770
2005-04-01,cuyo,122690,308390
2005-04-01,gran_buenos_aires,137650,324990
2005-04-01,noreste,123210,272300
2005-04-01,noroeste,119540,261920
2005-04-01,pampeana,136340,321770
2005-04-01,patagonia,142080,380770
2005-05-01,cuyo,122690,308390
2005-05-01,gran_buenos_aires,137650,324990
2005-05-01,noreste,123210,272300
2005-05-01,noroeste,119540,261920
2005-05-01,pampeana,136340,321770
2005-05-01,patagonia,142080,380770
2005-06-01,cuyo,122690,308390
2005-06-01,gran_buenos_aires,137650,324990
2005-06-01,noreste,123210,272300
2005-06-01,noroeste,119540,261920
2005-06-01,pampeana,136340,321770
2005-06-01,patagonia,142080,380770
2005-07-01,cuyo,122690,308390
2005-07-01,gran_buenos_aires,137650,324990
2005-07-01,noreste,123210,272300
2005-07-01,noroeste,119540,261920
2005-07-01,pampeana,136340,321770
2005-07-01,patagonia,142080,380770
2005-08-01,cuyo,122690,308390
2005-08-01,gran_buenos_aires,137650,324990
2005-08-01,noreste,123210,272300
2005-08-01,noroeste,119540,261920
2005-08-01,pampeana,136340,321770
2005-08-01,patagonia,142080,380770
2005-09-01,cuyo,122690,308390
2005-09-01,gran_buenos_aires,137650,324990
2005-09-01,noreste,123210,272300
2005-09-01,noroeste,119540,261920
2005-09-01,pampeana,136340,321770
2005-09-01,patagonia,142080,380770
2005-10-01,cuyo,122690,308390
2005-10-01,gran_buenos_aires,137650,324990
2005-10-01,noreste,123210,272300
2005-10-01,noroeste,119540,261920
2005-10-01,pampeana,136340,321770
2005-10-01,patagonia,142080,380770
2005-11-01,cuyo,122690,308390
2005-11-01,gran_buenos_aires,137650,324990
2005-11-01,noreste,123210,272300
2005-11-01,noroeste,119540,261920
2005-11-01,pampeana,136340,321770
2005-11-01,patagonia,142080,380770
2005-12-01,cuyo,122690,308390
2005-12-01,gran_buenos_aires,137650,324990
2005-12-01,noreste,123210,272300
2005-12-01,noroeste,119540,261920
2005-12-01,pampeana,136340,321770
2005-12-01,patagonia,142080,380770
2006-01-01,cuyo,122690,308390
2006-01-01,gran_buenos_aires,137650,324990
2006-01-01,noreste,123210,272300
2006-01-01,noroeste,119540,261920
2006-01-01,pampeana,136340,321770
2006-01-01,patagonia,142080,380770
2006-02-01,cuyo,122690,308390
2006-02-01,gran_buenos_aires,137650,324990
2006-02-01,noreste,123210,272300
2006-02-01,noroeste,119540,261920
2006-02-01,pampeana,136340,321770
2006-02-01,patagonia,142080,380770
2006-03-01,cuyo,122690,308390
2006-03-01,gran_buenos_aires,137650,324990
2006-03-01,noreste,123210,272300
2006-03-01,noroeste,119540,261920
2006-03-01,pampeana,136340,321770
2006-03-01,patagonia,142080,380770
2006-04-01,cuyo,122690,308390
2006-04-01,gran_buenos_aires,137650,324990
2006-04-01,noreste,123210,272300
2006-04-01,noroeste,119540,261920
2006-04-01,pampeana,136340,321770
2006-04-01,patagonia,142080,380770
2006-05-01,cuyo,122690,308390
2006-05-01,gran_buenos_aires,137650,324990
2006-05-01,noreste,123210,272300
2006-05-01,noroeste,119540,261920
2006-05-01,pampeana,136340,321770
2006-05-01,patagonia,142080,380770
2006-06-01,cuyo,122690,308390
2006-06-01,gran_buenos_aires,137650,324990
2006-06-01,noreste,123210,272300
2006-06-01,noroeste,119540,261920
2006-06-01,pampeana,136340,321770
2006-06-01,patagonia,142080,380770
2006-07-01,cuyo,122690,308390
2006-07-01,gran_buenos_aires,137650,324990
2006-07-01,noreste,123210,272300
2006-07-01,noroeste,119540,261920
2006-07-01,pampeana,136340,321770
2006-07-01,patagonia,142080,380770
2006-08-01,cuyo,122690,308390
2006-08-01,gran_buenos_aires,137650,324990
2006-08-01,noreste,123210,272300
2006-08-01,noroeste,119540,261920
2006-08-01,pampeana,136340,321770
2006-08-01,patagonia,142080,380770
2006-09-01,cuyo,122690,308390
2006-09-01,gran_buenos_aires,137650,324990
2006-09-01,noreste,123210,272300
2006-09-01,noroeste,119540,261920
2006-09-01,pampeana,136340,321770
2006-09-01,patagonia,142080,380770
2006-10-01,cuyo,122690,308390
2006-10-01,gran_buenos_aires,137650,324990
2006-10-01,noreste,123210,272300
2006-10-01,noroeste,119540,261920
2006-10-01,pampeana,136340,321770
2006-10-01,patagonia,142080,380770
2006-11-01,cuyo,122690,308390
2006-11-01,gran_buenos_aires,137650,324990
2006-11-01,noreste,123210,272300
2006-11-01,noroeste,119540,261920
2006-11-01,pampeana,136340,321770
2006-11-01,patagonia,142080,380770
2006-12-01,cuyo,122690,308390
2006-12-01,gran_buenos_aires,137650,324990
2006-12-01,noreste,123210,272300
2006-12-01,noroeste,119540,261920
2006-12-01,pampeana,136340,321770
2006-12-01,patagonia,142080,380770
2007-01-01,cuyo,122690,308390
2007-01-01,gran_buenos_aires,137650,324990
2007-01-01,noreste,123210,272300
2007-01-01,noroeste,119540,261920
2007-01-01,pampeana,136340,321770
2007-01-01,patagonia,142080,380770
2007-02-01,cuyo,122690,308390
2007-02-01,gran_buenos_aires,137650,324990
2007-02-01,noreste,123210,272300
2007-02-01,noroeste,119540,261920
2007-02-01,pampeana,136340,321770
2007-02-01,patagonia,142080,380770
2007-03-01,cuyo,122690,308390
2007-03-01,gran_buenos_aires,137650,324990
2007-03-01,noreste,123210,272300
2007-03-01,noroeste,119540,261920
2007-03-01,pampeana,136340,321770
2007-03-01,patagonia,142080,380770
2007-04-01,cuyo,122690,308390
2007-04-01,gran_buenos_aires,137650,324990
2007-04-01,noreste,123210,272300
2007-04-01,noroeste,119540,261920
2007-04-01,pampeana,136340,321770
2007-04-01,patagonia,142080,380770
2007-05-01,cuyo,122690,308390
2007-05-01,gran_buenos_aires,137650,324990
2007-05-01,noreste,123210,272300
2007-05-01,noroeste,119540,261920
2007-05-01,pampeana,136340,321770
2007-05-01,patagonia,142080,380770
2007-06-01,cuyo,122690,308390
2007-06-01,gran_buenos_aires,137650,324990
2007-06-01,noreste,123210,272300
2007-06-01,noroeste,119540,261920
2007-06-01,pampeana,136340,321770
2007-06-01,patagonia,142080,380770
2007-07-01,cuyo,122690,308390
2007-07-01,gran_buenos_aires,137650,324990
2007-07-01,noreste,123210,272300
2007-07-01,noroeste,119540,261920
2007-07-01,pampeana,136340,321770
2007-07-01,patagonia,142080,380770
2007-08-01,cuyo,122690,308390
2007-08-01,gran_buenos_aires,137650,324990
2007-08-01,noreste,123210,272300
2007-08-01,noroeste,119540,261920
2007-08-01,pampeana,136340,321770
2007-08-01,patagonia,142080,380770
2007-09-01,cuyo,122690,308390
2007-09-01,gran_buenos_aires,137650,324990
2007-09-01,noreste,123210,272300
2007-09-01,noroeste,119540,261920
2007-09-01,pampeana,136340,321770
2007-09-01,patagonia,142080,380770
2007-10-01,cuyo,122690,308390
2007-10-01,gran_buenos_aires,137650,324990
2007-10-01,noreste,123210,272300
2007-10-01,noroeste,119540,261920
2007-10-01,pampeana,136340,321770
2007-10-01,patagonia,142080,380770
2007-11-01,cuyo,122690,308390
2007-11-01,gran_buenos_aires,137650,324990
2007-11-01,noreste,123210,272300
2007-11-01,noroeste,119540,261920
2007-11-01,pampeana,136340,321770
2007-11-01,patagonia,142080,380770
2007-12-01,cuyo,122690,308390
2007-12-01,gran_buenos_aires,137650,324990
2007-12-01,noreste,123210,272300
2007-12-01,noroeste,119540,261920
2007-12-01,pampeana,136340,321770
2007-12-01,patagonia,142080,380770
2008-01-01,cuyo,122690,308390
2008-01-01,gran_buenos_aires,137650,324990
2008-01-01,noreste,123210,272300
2008-01-01,noroeste,119540,261920
2008-01-01,pampeana,136340,321770
2008-01-01,patagonia,142080,380770
2008-02-01,cuyo,122690,308390
2008-02-01,gran_buenos_aires,137650,324990
2008-02-01,noreste,123210,272300
2008-02-01,noroeste,119540,261920
2008-02-01,pampeana,136340,321770
2008-02-01,patagonia,142080,380770
2008-03-01,cuyo,122690,308390
2008-03-01,gran_buenos_aires,137650,324990
2008-03-01,noreste,123210,272300
2008-03-01,noroeste,119540,261920
2008-03-01,pampeana,136340,321770
2008-03-01,patagonia,142080,380770
2008-04-01,cuyo,122690,308390
2008-04-01,gran_buenos_aires,137650,324990
2008-04-01,noreste,123210,272300
2008-04-01,noroeste,119540,261920
2008-04-01,pampeana,136340,321770
2008-04-01,patagonia,142080,380770
2008-05-01,cuyo,122690,308390
2008-05-01,gran_buenos_aires,137650,324990
2008-05-01,noreste,123210,272300
2008-05-01,noroeste,119540,261920
2008-05-01,pampeana,136340,321770
2008-05-01,patagonia,142080,380770
2008-06-01,cuyo,122690,308390
2008-06-01,gran_buenos_aires,137650,324990
2008-06-01,noreste,123210,272300
2008-06-01,noroeste,119540,261920
2008-06-01,pampeana,136340,321770
2008-06-01,patagonia,142080,380770
2008-07-01,cuyo,122690,308390
2008-07-01,gran_buenos_aires,137650,324990
2008-07-01,noreste,123210,272300
2008-07-01,noroeste,119540,261920
2008-07-01,pampeana,136340,321770
2008-07-01,patagonia,142080,380770
2008-08-01,cuyo,122690,308390
2008-08-01,gran_buenos_aires,137650,324990
2008-08-01,noreste,123210,272300
2008-08-01,noroeste,119540,261920
2008-08-01,pampeana,136340,321770
2008-08-01,patagonia,142080,380770
2008-09-01,cuyo,122690,308390
2008-09-01,gran_buenos_aires,137650,324990
2008-09-01,noreste,123210,272300
2008-09-01,noroeste,119540,261920
2008-09-01,pampeana,136340,321770
2008-09-01,patagonia,142080,380770
2008-10-01,cuyo,122690,308390
2008-10-01,gran_buenos_aires,137650,324990
2008-10-01,noreste,123210,272300
2008-10-01,noroeste,119540,261920
2008-10-01,pampeana,136340,321770
2008-10-01,patagonia,142080,380770
2008-11-01,cuyo,122690,308390
2008-11-01,gran_buenos_aires,137650,324990
2008-11-01,noreste,123210,272300
2008-11-01,noroeste,119540,261920
2008-11-01,pampeana,136340,321770
2008-11-01,patagonia,142080,380770
