Q,Region,CBA_2016-01,CBT_2016-01,index,CBA_ARScorr,CBT_ARScorr,CBA_2022-12,CBT_2022-12
2005-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,10.282882541464096,142,345,20604,50217
2005-05-15,noreste,1232.130273205757,2811.8558949373987,10.282882541464096,127,289,18416,42027
2005-05-15,noroeste,1197.4449498245592,2708.834587450183,10.282882541464096,123,279,17898,40488
2005-05-15,pampeana,1366.1084763454912,3328.815534019302,10.282882541464096,140,342,20419,49754
2005-05-15,patagonia,1422.3866776697025,3935.376729360791,10.282882541464096,146,405,21260,58820
2005-08-15,cuyo,1227.3627684117912,3184.7771977502325,10.541398300419829,129,336,18345,47601
2005-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,10.541398300419829,145,354,20604,50217
2005-08-15,noreste,1232.130273205757,2811.8558949373987,10.541398300419829,130,296,18416,42027
2005-08-15,noroeste,1197.4449498245592,2708.834587450183,10.541398300419829,126,286,17898,40488
2005-08-15,pampeana,1366.1084763454912,3328.815534019302,10.541398300419829,144,351,20419,49754
2005-08-15,patagonia,1422.3866776697025,3935.376729360791,10.541398300419829,150,415,21260,58820
2005-11-15,cuyo,1227.3627684117912,3184.7771977502325,10.934458331691348,134,348,18345,47601
2005-11-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,10.934458331691348,151,367,20604,50217
2005-11-15,noreste,1232.130273205757,2811.8558949373987,10.934458331691348,135,307,18416,42027
2005-11-15,noroeste,1197.4449498245592,2708.834587450183,10.934458331691348,131,296,17898,40488
2005-11-15,pampeana,1366.1084763454912,3328.815534019302,10.934458331691348,149,364,20419,49754
2005-11-15,patagonia,1422.3866776697025,3935.376729360791,10.934458331691348,156,430,21260,58820
2006-02-15,cuyo,1227.3627684117912,3184.7771977502325,11.22701727664061,138,358,18345,47601
2006-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,11.22701727664061,155,377,20604,50217
2006-02-15,noreste,1232.130273205757,2811.8558949373987,11.22701727664061,138,316,18416,42027
2006-02-15,noroeste,1197.4449498245592,2708.834587450183,11.22701727664061,134,304,17898,40488
2006-02-15,pampeana,1366.1084763454912,3328.815534019302,11.22701727664061,153,374,20419,49754
2006-02-15,patagonia,1422.3866776697025,3935.376729360791,11.22701727664061,160,442,21260,58820
2006-05-15,cuyo,1227.3627684117912,3184.7771977502325,11.450231999900808,141,365,18345,47601
2006-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,11.450231999900808,158,385,20604,50217
2006-05-15,noreste,1232.130273205757,2811.8558949373987,11.450231999900808,141,322,18416,42027
2006-05-15,noroeste,1197.4449498245592,2708.834587450183,11.450231999900808,137,310,17898,40488
2006-05-15,pampeana,1366.1084763454912,3328.815534019302,11.450231999900808,156,381,20419,49754
2006-05-15,patagonia,1422.3866776697025,3935.376729360791,11.450231999900808,163,451,21260,58820
2006-08-15,cuyo,1227.3627684117912,3184.7771977502325,11.611435609894484,143,370,18345,47601
2006-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,11.611435609894484,160,390,20604,50217
2006-08-15,noreste,1232.130273205757,2811.8558949373987,11.611435609894484,143,326,18416,42027
2006-08-15,noroeste,1197.4449498245592,2708.834587450183,11.611435609894484,139,315,17898,40488
2006-08-15,pampeana,1366.1084763454912,3328.815534019302,11.611435609894484,159,387,20419,49754
2006-08-15,patagonia,1422.3866776697025,3935.376729360791,11.611435609894484,165,457,21260,58820
2006-11-15,cuyo,1227.3627684117912,3184.7771977502325,11.876021235098534,146,378,18345,47601
2006-11-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,11.876021235098534,164,399,20604,50217
2006-11-15,noreste,1232.130273205757,2811.8558949373987,11.876021235098534,146,334,18416,42027
2006-11-15,noroeste,1197.4449498245592,2708.834587450183,11.876021235098534,142,322,17898,40488
2006-11-15,pampeana,1366.1084763454912,3328.815534019302,11.876021235098534,162,395,20419,49754
2006-11-15,patagonia,1422.3866776697025,3935.376729360791,11.876021235098534,169,467,21260,58820
2007-02-15,cuyo,1227.3627684117912,3184.7771977502325,12.224360774786009,150,389,18345,47601
2007-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,12.224360774786009,169,411,20604,50217
2007-02-15,noreste,1232.130273205757,2811.8558949373987,12.224360774786009,151,344,18416,42027
2007-02-15,noroeste,1197.4449498245592,2708.834587450183,12.224360774786009,146,331,17898,40488
2007-02-15,pampeana,1366.1084763454912,3328.815534019302,12.224360774786009,167,407,20419,49754
2007-02-15,patagonia,1422.3866776697025,3935.376729360791,12.224360774786009,174,481,21260,58820
2007-05-15,cuyo,1227.3627684117912,3184.7771977502325,12.884581888411534,158,410,18345,47601
2007-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,12.884581888411534,178,433,20604,50217
2007-05-15,noreste,1232.130273205757,2811.8558949373987,12.884581888411534,159,362,18416,42027
2007-05-15,noroeste,1197.4449498245592,2708.834587450183,12.884581888411534,154,349,17898,40488
2007-05-15,pampeana,1366.1084763454912,3328.815534019302,12.884581888411534,176,429,20419,49754
2007-05-15,patagonia,1422.3866776697025,3935.376729360791,12.884581888411534,183,507,21260,58820
2007-08-15,cuyo,1227.3627684117912,3184.7771977502325,13.92960820451792,171,444,18345,47601
2007-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,13.92960820451792,192,468,20604,50217
2007-08-15,noreste,1232.130273205757,2811.8558949373987,13.92960820451792,172,392,18416,42027
2007-08-15,noroeste,1197.4449498245592,2708.834587450183,13.92960820451792,167,377,17898,40488
2007-08-15,pampeana,1366.1084763454912,3328.815534019302,13.92960820451792,190,464,20419,49754
